Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
ID39569,Washington,No,Extended,High School or Below,1/19/2011,Retired,M,19382,Suburban,Married,94,31,18,0,2,Personal Auto,Personal L3,Offer4,Agent,676.8,Four-Door Car,Medsize
RJ80405,Arizona,No,Basic,Bachelor,1/22/2011,Employed,M,33191,Suburban,Married,70,9,80,0,9,Personal Auto,Personal L1,Offer3,Branch,443.53718,Four-Door Car,Medsize
NT21324,Arizona,No,Basic,College,1/27/2011,Employed,M,72389,Urban,Married,70,3,76,0,1,Personal Auto,Personal L1,Offer2,Branch,206.158416,Four-Door Car,Medsize
IY98928,Arizona,No,Basic,Master,1/25/2011,Employed,F,91475,Rural,Divorced,64,28,35,0,3,Personal Auto,Personal L1,Offer1,Agent,73.295606,Four-Door Car,Medsize
XJ81725,California,No,Premium,College,1/28/2011,Unemployed,M,0,Suburban,Single,111,2,29,0,3,Personal Auto,Personal L2,Offer1,Agent,799.2,Four-Door Car,Medsize
FE62142,Oregon,No,Basic,Bachelor,2/26/2011,Employed,F,43682,Rural,Married,107,12,73,0,1,Corporate Auto,Corporate L3,Offer3,Branch,148.003496,SUV,Medsize
ZH55575,California,Yes,Basic,Bachelor,2/17/2011,Employed,F,39854,Urban,Divorced,66,6,4,0,7,Corporate Auto,Corporate L3,Offer2,Web,261.930545,Two-Door Car,Medsize
WI86229,Oregon,No,Extended,Master,1/24/2011,Employed,M,52162,Urban,Divorced,99,1,63,0,4,Personal Auto,Personal L2,Offer1,Agent,251.152889,Two-Door Car,Large
QR42111,Arizona,No,Extended,High School or Below,2/24/2011,Unemployed,F,0,Suburban,Married,134,32,27,0,1,Special Auto,Special L2,Offer1,Branch,643.2,SUV,Small
DN71979,Arizona,No,Basic,College,1/15/2011,Employed,M,74755,Suburban,Divorced,195,10,10,0,1,Personal Auto,Personal L3,Offer1,Web,1404,Luxury Car,Medsize
IC22580,California,No,Extended,College,2/13/2011,Employed,M,85339,Urban,Married,95,6,43,0,2,Personal Auto,Personal L1,Offer3,Agent,392.7457,Four-Door Car,Small
MX93069,Oregon,Yes,Extended,Doctor,1/30/2011,Employed,M,57709,Suburban,Married,125,10,26,0,1,Personal Auto,Personal L3,Offer2,Branch,600,SUV,Medsize
TG37225,California,Yes,Basic,College,1/1/2011,Retired,M,26802,Suburban,Married,66,7,43,1,5,Personal Auto,Personal L3,Offer2,Agent,316.8,Two-Door Car,Medsize
GY69750,Oregon,No,Basic,Master,1/14/2011,Unemployed,M,0,Rural,Divorced,73,33,44,0,3,Personal Auto,Personal L3,Offer1,Branch,152.080908,Four-Door Car,Large
KX99703,Oregon,Yes,Extended,College,2/16/2011,Retired,F,18577,Suburban,Divorced,86,21,76,0,6,Personal Auto,Personal L3,Offer1,Branch,412.8,Four-Door Car,Medsize
AA35519,Arizona,Yes,Basic,College,1/11/2011,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Personal Auto,Personal L2,Offer1,Agent,513.6,SUV,Medsize
FE99816,Nevada,No,Premium,Bachelor,1/19/2011,Unemployed,F,0,Suburban,Married,253,15,40,5,7,Personal Auto,Personal L1,Offer3,Web,1214.4,Luxury Car,Medsize
YP92773,Washington,No,Premium,Bachelor,2/25/2011,Employed,F,21546,Suburban,Married,119,20,66,1,1,Corporate Auto,Corporate L2,Offer3,Agent,625.395925,Two-Door Car,Medsize
CF26052,Arizona,No,Basic,Bachelor,1/16/2011,Employed,F,49182,Rural,Married,70,6,86,0,2,Personal Auto,Personal L3,Offer1,Web,165.410515,Two-Door Car,Medsize
PR37714,California,No,Extended,Bachelor,2/23/2011,Employed,F,32238,Suburban,Divorced,91,15,80,0,4,Personal Auto,Personal L3,Offer3,Branch,439.781453,Four-Door Car,Medsize
CE92675,California,No,Basic,College,2/21/2011,Unemployed,F,0,Suburban,Single,68,24,2,0,2,Personal Auto,Personal L1,Offer2,Web,326.4,Four-Door Car,Large
BK47926,California,No,Extended,High School or Below,2/7/2011,Employed,M,98118,Suburban,Single,83,28,68,3,3,Personal Auto,Personal L3,Offer2,Branch,398.4,Four-Door Car,Small
BY62906,Arizona,No,Basic,High School or Below,1/24/2011,Employed,M,22971,Suburban,Married,101,24,8,0,2,Personal Auto,Personal L3,Offer2,Web,562.021558,SUV,Medsize
UY95661,California,No,Basic,Master,2/26/2011,Employed,M,49161,Urban,Married,63,16,41,2,3,Personal Auto,Personal L2,Offer3,Branch,171.746945,Two-Door Car,Medsize
OS84395,Nevada,No,Extended,Bachelor,2/25/2011,Employed,M,90252,Rural,Married,95,1,77,0,7,Corporate Auto,Corporate L2,Offer2,Web,122.924197,Four-Door Car,Medsize
JS53793,Arizona,No,Basic,Doctor,1/16/2011,Employed,F,25036,Suburban,Married,61,11,30,1,1,Corporate Auto,Corporate L3,Offer2,Agent,292.8,Four-Door Car,Large
BV25135,California,No,Extended,Bachelor,2/11/2011,Employed,M,28314,Suburban,Single,121,21,37,0,1,Personal Auto,Personal L3,Offer1,Agent,580.8,SUV,Medsize
AF17671,Washington,No,Extended,Bachelor,1/27/2011,Employed,F,56337,Suburban,Married,97,26,25,0,3,Personal Auto,Personal L2,Offer4,Web,465.6,Four-Door Car,Medsize
AY30324,Oregon,No,Extended,Bachelor,1/6/2011,Employed,F,99074,Urban,Married,77,4,40,1,9,Special Auto,Special L2,Offer4,Call Center,208.38907,Two-Door Car,Medsize
XE17270,California,No,Extended,High School or Below,2/2/2011,Employed,M,31708,Suburban,Single,94,3,43,1,1,Personal Auto,Personal L1,Offer1,Agent,451.2,Two-Door Car,Medsize
LS46182,Nevada,No,Extended,Bachelor,2/11/2011,Unemployed,M,0,Suburban,Single,83,3,85,1,1,Personal Auto,Personal L2,Offer1,Branch,398.4,Four-Door Car,Medsize
LH33181,Arizona,No,Basic,Bachelor,1/10/2011,Unemployed,M,0,Suburban,Single,67,23,39,1,2,Personal Auto,Personal L3,Offer1,Agent,431.32052,Four-Door Car,Large
AT84725,Washington,Yes,Basic,College,1/10/2011,Retired,M,28215,Suburban,Single,65,15,26,0,3,Personal Auto,Personal L3,Offer1,Agent,468,Two-Door Car,Medsize
TP33286,Washington,No,Premium,High School or Below,2/5/2011,Unemployed,M,0,Suburban,Single,119,3,24,0,2,Corporate Auto,Corporate L2,Offer2,Agent,856.8,Four-Door Car,Medsize
YB79192,California,No,Extended,Bachelor,1/15/2011,Employed,F,21119,Suburban,Married,128,1,79,0,4,Personal Auto,Personal L2,Offer1,Branch,614.4,SUV,Medsize
SC43870,California,No,Basic,Bachelor,1/29/2011,Unemployed,M,0,Suburban,Single,66,14,16,0,2,Corporate Auto,Corporate L3,Offer1,Web,475.2,Four-Door Car,Medsize
OO72857,Oregon,No,Basic,Bachelor,1/14/2011,Unemployed,M,0,Suburban,Married,69,33,49,1,2,Personal Auto,Personal L1,Offer1,Agent,331.2,Four-Door Car,Medsize
MO38559,Arizona,No,Basic,Doctor,2/3/2011,Unemployed,F,0,Rural,Married,70,9,19,0,3,Personal Auto,Personal L2,Offer2,Call Center,20.521312,Four-Door Car,Medsize
RL65736,Oregon,No,Extended,High School or Below,2/14/2011,Medical Leave,F,13662,Suburban,Single,85,29,37,0,3,Personal Auto,Personal L1,Offer1,Agent,408,Four-Door Car,Small
ID30085,Arizona,Yes,Basic,High School or Below,1/2/2011,Unemployed,F,0,Suburban,Divorced,112,12,93,0,3,Personal Auto,Personal L2,Offer1,Web,537.6,Sports Car,Medsize
CO68055,Oregon,No,Basic,Bachelor,1/1/2011,Unemployed,M,0,Suburban,Married,109,18,2,0,2,Personal Auto,Personal L1,Offer3,Branch,691.401424,SUV,Small
NX37589,Washington,No,Basic,Bachelor,2/8/2011,Employed,F,79251,Suburban,Married,67,10,32,1,1,Personal Auto,Personal L3,Offer2,Web,321.6,Four-Door Car,Medsize
BX88206,Nevada,No,Basic,High School or Below,2/16/2011,Employed,F,51294,Rural,Married,116,19,45,0,2,Corporate Auto,Corporate L3,Offer2,Web,113.237624,SUV,Medsize
AA30683,California,No,Premium,Bachelor,1/15/2011,Unemployed,M,0,Suburban,Single,105,2,38,2,7,Personal Auto,Personal L3,Offer1,Web,847.717402,Four-Door Car,Medsize
BD13927,California,No,Basic,High School or Below,1/10/2011,Unemployed,F,0,Suburban,Single,62,34,71,0,1,Personal Auto,Personal L2,Offer3,Branch,675.468453,Two-Door Car,Small
SJ71233,California,No,Basic,College,2/22/2011,Unemployed,F,0,Suburban,Single,107,27,27,0,9,Personal Auto,Personal L2,Offer1,Branch,513.6,SUV,Medsize
WK52692,Oregon,No,Extended,College,1/16/2011,Medical Leave,F,29124,Suburban,Married,129,15,41,4,1,Personal Auto,Personal L2,Offer1,Call Center,619.2,SUV,Medsize
OG67387,California,No,Basic,College,2/12/2011,Unemployed,M,0,Suburban,Single,65,19,33,0,3,Personal Auto,Personal L3,Offer2,Call Center,312,Four-Door Car,Medsize
XR99310,California,No,Extended,College,1/15/2011,Employed,M,97266,Suburban,Married,79,29,84,0,1,Special Auto,Special L3,Offer2,Agent,546.052144,Two-Door Car,Medsize
GU84478,Oregon,No,Basic,High School or Below,1/17/2011,Employed,M,48207,Urban,Married,63,28,85,2,8,Personal Auto,Personal L1,Offer3,Branch,164.974886,Four-Door Car,Medsize
ZX29705,California,No,Basic,College,2/15/2011,Unemployed,F,0,Suburban,Married,69,5,78,0,2,Corporate Auto,Corporate L3,Offer4,Web,331.2,Four-Door Car,Medsize
WN67367,California,No,Extended,Bachelor,1/18/2011,Unemployed,F,0,Urban,Divorced,88,3,8,0,1,Personal Auto,Personal L3,Offer1,Web,325.917598,Four-Door Car,Large
QN67807,Arizona,No,Basic,Bachelor,1/17/2011,Employed,M,97316,Urban,Married,67,13,18,0,7,Personal Auto,Personal L3,Offer2,Branch,309.076476,Two-Door Car,Large
AU77281,Oregon,Yes,Basic,College,1/20/2011,Employed,F,63860,Urban,Married,62,26,81,0,1,Personal Auto,Personal L2,Offer2,Agent,208.598246,Four-Door Car,Medsize
DN46994,California,No,Basic,Bachelor,2/28/2011,Employed,F,72633,Rural,Married,67,28,91,0,8,Personal Auto,Personal L3,Offer1,Agent,155.761761,Four-Door Car,Medsize
OW97322,Oregon,No,Premium,Bachelor,2/10/2011,Employed,M,28013,Suburban,Married,266,25,30,0,2,Personal Auto,Personal L2,Offer2,Branch,1276.8,Luxury Car,Small
ZC97171,Arizona,No,Extended,High School or Below,2/15/2011,Employed,F,60479,Rural,Single,96,1,44,0,3,Personal Auto,Personal L3,Offer3,Call Center,85.155359,Four-Door Car,Medsize
NG69817,California,No,Basic,Bachelor,1/24/2011,Unemployed,F,0,Suburban,Single,68,24,42,0,2,Personal Auto,Personal L1,Offer1,Branch,519.757811,Two-Door Car,Small
BS95225,California,No,Basic,College,1/19/2011,Medical Leave,M,14151,Suburban,Single,72,5,41,1,1,Personal Auto,Personal L2,Offer2,Branch,345.6,Four-Door Car,Medsize
AE93522,Washington,No,Basic,Bachelor,1/23/2011,Employed,M,75891,Rural,Single,61,1,5,0,2,Corporate Auto,Corporate L2,Offer2,Branch,61.285525,Two-Door Car,Medsize
LP15901,Nevada,No,Basic,Bachelor,1/4/2011,Unemployed,M,0,Suburban,Single,183,5,81,0,1,Personal Auto,Personal L2,Offer1,Agent,1317.6,Luxury SUV,Small
FB95495,California,No,Basic,College,1/12/2011,Employed,M,53078,Suburban,Single,73,1,10,0,5,Personal Auto,Personal L3,Offer1,Branch,764.221884,Four-Door Car,Medsize
PE59735,Oregon,No,Extended,High School or Below,2/15/2011,Disabled,F,20031,Rural,Married,86,4,83,0,2,Personal Auto,Personal L3,Offer1,Branch,109.69048,Four-Door Car,Medsize
WR73970,Arizona,No,Basic,Bachelor,2/20/2011,Employed,M,92070,Suburban,Married,74,16,1,0,1,Corporate Auto,Corporate L2,Offer3,Branch,368.669336,Four-Door Car,Medsize
JD15492,Oregon,No,Basic,High School or Below,1/4/2011,Employed,F,44509,Urban,Married,61,8,68,0,1,Personal Auto,Personal L2,Offer3,Call Center,226.731454,Four-Door Car,Medsize
OF46381,California,No,Basic,High School or Below,2/6/2011,Unemployed,M,0,Suburban,Single,73,22,93,0,2,Personal Auto,Personal L2,Offer1,Agent,525.6,Two-Door Car,Small
GP85044,Arizona,No,Basic,Bachelor,2/12/2011,Employed,M,91967,Rural,Married,113,4,74,0,1,Special Auto,Special L1,Offer1,Agent,156.736745,SUV,Medsize
OO64005,Oregon,No,Basic,Bachelor,2/13/2011,Unemployed,F,0,Suburban,Married,63,20,5,0,1,Personal Auto,Personal L3,Offer1,Branch,302.4,Four-Door Car,Small
VB42222,Nevada,No,Premium,Bachelor,1/7/2011,Employed,F,97379,Urban,Divorced,119,10,62,0,2,Personal Auto,Personal L1,Offer1,Web,354.764801,Four-Door Car,Medsize
ZR79373,Arizona,Yes,Premium,Bachelor,1/5/2011,Retired,F,14290,Suburban,Married,271,20,40,0,1,Personal Auto,Personal L3,Offer1,Agent,1300.8,Luxury SUV,Medsize
KH12081,Arizona,No,Basic,High School or Below,2/26/2011,Unemployed,F,0,Suburban,Divorced,119,3,11,1,8,Personal Auto,Personal L3,Offer2,Branch,729.405742,SUV,Large
WV64743,Washington,No,Basic,High School or Below,2/10/2011,Unemployed,M,0,Suburban,Single,194,31,11,0,4,Personal Auto,Personal L3,Offer3,Call Center,1396.8,Luxury Car,Medsize
ZT58755,Oregon,No,Basic,High School or Below,2/11/2011,Unemployed,F,0,Urban,Married,68,4,71,0,2,Personal Auto,Personal L3,Offer1,Agent,256.916302,Four-Door Car,Medsize
WX52894,Nevada,No,Basic,College,1/10/2011,Employed,M,21927,Rural,Married,71,32,40,0,2,Personal Auto,Personal L2,Offer2,Call Center,128.624785,Four-Door Car,Medsize
EO51920,Oregon,No,Extended,High School or Below,1/31/2011,Employed,F,69096,Rural,Married,99,24,32,0,2,Corporate Auto,Corporate L3,Offer1,Agent,64.669515,Four-Door Car,Medsize
AQ34238,Oregon,No,Basic,Bachelor,2/27/2011,Unemployed,M,0,Suburban,Single,72,8,14,2,8,Corporate Auto,Corporate L1,Offer1,Call Center,518.4,Four-Door Car,Medsize
EI10204,Oregon,Yes,Basic,High School or Below,1/19/2011,Medical Leave,F,28513,Suburban,Married,100,4,22,1,2,Personal Auto,Personal L2,Offer2,Call Center,480,SUV,Medsize
GY23881,Oregon,No,Basic,High School or Below,2/28/2011,Employed,M,81687,Suburban,Single,61,7,77,0,6,Personal Auto,Personal L2,Offer2,Call Center,292.8,Four-Door Car,Medsize
FL59259,Nevada,No,Extended,High School or Below,2/2/2011,Medical Leave,F,13792,Suburban,Divorced,87,2,3,2,3,Personal Auto,Personal L3,Offer1,Web,620.19254,Four-Door Car,Medsize
RN45606,Nevada,No,Extended,High School or Below,2/13/2011,Employed,F,32184,Rural,Married,136,14,91,1,2,Personal Auto,Personal L2,Offer1,Branch,266.146673,SUV,Medsize
OJ64812,Washington,No,Extended,Bachelor,2/25/2011,Employed,M,26432,Suburban,Single,88,19,89,3,2,Personal Auto,Personal L3,Offer1,Branch,422.4,Four-Door Car,Medsize
AK11669,Arizona,No,Extended,Doctor,1/17/2011,Employed,F,59232,Suburban,Divorced,85,6,75,0,2,Corporate Auto,Corporate L3,Offer3,Branch,408,Two-Door Car,Medsize
EM53324,Oregon,No,Basic,College,2/15/2011,Unemployed,F,0,Suburban,Single,72,26,12,3,2,Personal Auto,Personal L3,Offer1,Branch,345.6,Four-Door Car,Medsize
JE99638,Arizona,No,Basic,Bachelor,2/3/2011,Medical Leave,M,23577,Rural,Married,68,1,67,0,2,Personal Auto,Personal L3,Offer2,Agent,91.815153,Four-Door Car,Medsize
LR69185,Nevada,No,Extended,College,1/14/2011,Unemployed,M,0,Suburban,Single,80,27,88,0,3,Personal Auto,Personal L2,Offer2,Agent,848.201438,Four-Door Car,Medsize
AS55478,Oregon,No,Extended,Bachelor,2/23/2011,Employed,M,26670,Suburban,Married,98,23,13,0,1,Corporate Auto,Corporate L3,Offer4,Call Center,541.229321,Four-Door Car,Small
OB52091,Washington,No,Basic,Bachelor,2/9/2011,Employed,M,87403,Suburban,Divorced,68,1,63,0,2,Personal Auto,Personal L1,Offer1,Agent,456.290338,Four-Door Car,Medsize
AM28777,Oregon,No,Basic,College,1/4/2011,Employed,F,51455,Rural,Married,67,16,85,0,1,Personal Auto,Personal L1,Offer2,Agent,11.046789,Four-Door Car,Medsize
AQ70385,Oregon,No,Basic,High School or Below,1/13/2011,Employed,M,30242,Rural,Married,72,30,23,0,3,Personal Auto,Personal L3,Offer2,Branch,48.288036,Four-Door Car,Medsize
FL22732,Oregon,No,Basic,Bachelor,2/14/2011,Employed,M,64311,Urban,Married,62,21,79,0,2,Personal Auto,Personal L2,Offer4,Agent,157.174836,Four-Door Car,Medsize
JD75068,Oregon,No,Basic,College,2/14/2011,Unemployed,F,0,Suburban,Married,70,21,70,0,1,Corporate Auto,Corporate L3,Offer1,Agent,405.384524,Four-Door Car,Medsize
MM70762,Arizona,Yes,Basic,Master,1/26/2011,Employed,M,37722,Rural,Single,116,8,23,0,8,Personal Auto,Personal L1,Offer1,Agent,158.077504,Sports Car,Medsize
JT46803,Oregon,No,Basic,Bachelor,1/9/2011,Employed,F,42336,Rural,Single,69,12,56,0,1,Personal Auto,Personal L2,Offer3,Web,25.605349,Four-Door Car,Medsize
VO25938,Oregon,Yes,Basic,Bachelor,1/27/2011,Employed,M,25998,Suburban,Married,71,16,38,0,2,Personal Auto,Personal L1,Offer2,Call Center,791.878042,Four-Door Car,Medsize
FP31685,Oregon,No,Basic,Bachelor,2/5/2011,Employed,F,24887,Suburban,Single,68,33,6,0,2,Personal Auto,Personal L3,Offer2,Agent,326.4,Four-Door Car,Medsize
